EnglishName	EnglishAlternatives	Greek	GrkTranslit	GrkTidy	Hebrew	HebTranslit	HebTidy	Comment
Seruch		Σερούχ	Serouⱪ	Serouⱪ	שְׂרוּג	Sərūg	Serug	
Seth		Σήθ	Saʸth	Seth	שֵׁת	Shēt	Shet	
Simeon		Συμεών	Sumeōn	Sumeon	שִׁמְעוֹן	Shimˊōn	Shimˊon	
Solomon		Σολομών	Solomōn	Solomon	שְׁלמֹה	Shəlmoh	Shelmoh	Jh 10:23, Mat 1:6, 6:29, 12:42, Luke 12:27, Acts 3:11, 5:12
Thamar		Θάμαρ	Thamar	Thamar	תָּמָר	Tāmār	Tamar	
Thara		Θάρα	Thara	Thara	תֶּרַח	Teraḩ	Terah	
Uriah		Οὐρίας	Ourias	Ourias	אוּרִיָּה	ʼŪriyyāh	Ūriyah	Matt 1:6
Uzziah		Ὀζίας	Ozias	Ozias	עֻזִּיָּה	ˊUzziyyāh	Uzziyah	
Zabulon		Ζαβουλών	Zaboulōn	Zaboulon	זְבוּלוּן	Zəⱱūlūn	Zevulun	
Zadok		Σαδώκ	Sadōk	Sadok	צָדוֹק	Tsādōq	Tsadok	
Zara		Ζαρά	Zara	Zara	זֶרַח	Zeraḩ	Zerah	
Zechariah		Ζαχαρίας	Zaⱪarias	Zaⱪarias	זְכַרְיָה	Zəkaryāh	Zekaryah	
Zorobabel		Ζοροβάβελ	Zorobabel	Zorobabel	זְרֻבָּבֶל	Zərubāⱱel	Zerubavel	

# Tribes/Groups
Chaldeans		ones_from_Χαλδια	ones_from_Ⱪaldia	ones_from_Ⱪaldia	כַּשְׂדִּי	kasdiy	kasdiy	Acts 7:2 (not sure of Greek spelling)
Damascene		from_Δαμασκός	from_Damaskos	from_Damaskos	דַּמֶּשֶׂק	dammeseq	dammesek	2 Cor 11:32
#Egyptians		ones_from_Αἴγυπτος		מִצְרַיִם		
Egyptian		from_Αἴγυπτος	from_Aiguptos	from_Aiguptos	מִצְרַיִם	miʦrayim	mitsrayim	Acts 7:28
#Ethiopians		Αἰθίοψ		כּוּשִׁי		Acts 8:27
