Lemma	Glosses
אַמָּה	Ammah;cubit;cubit_of;cubits;cubits_of;foundations_of;measure_of
אַנְתָּה	you;your
אַנְתּוּן	you
אַסְנָה	Asnah
אַסְפָּתָא	Aspatha
אַסִּיר	Assir;captive;prisoners
אַף	along_with;also;and;anger;anger_of;angers;angry;angry_of;breath_of;brow_of;but;countenance_of;double;even;even_if;face;face_of;faces;faces_of;furthermore;how;how_much_less;how_much_more;how_much_more?;how_much_worse;if;in_turn;indeed;more;moreover;no;nose;nose_of;noses;nostrils_of;really;snout_of;so_that;surely;temper;tempers;therefore;too;truly;with;wrath;wrath_of;yes;yet
אַפְּתֹם	revenue
אַפִּרְיוֹן	carriage
אַפֶּדֶן	royal_of
אַפַּיִם	Appaim
אַצִּיל	joints_of;long;wrists_of
אַקּוֹ	wild_goat
אַרְאֵלִי	Areli;Arelites
אַרְבִּי	Arbite
אַרְבֶּה	grasshopper;locust;locusts;swarming_locust
אַרְבַּע	four;four_of;fours;fourth
אַרְבַּעְתַּיִם	fourfold
אַרְבָּעִים	fortieth;forty;twenty
אַרְגְּוָן	purple
אַרְגַּז	box
אַרְגָּמָן	purple
אַרְגֹּב	Argob
אַרְדְּ	Ard
אַרְדִּי	Ardites
אַרְדּוֹן	Ardon
אַרְוַד	Arvad
אַרְוָדִי	Arvadites
אַרְזָה	cedar_work
אַרְיֵה	Arieh;lion;lion's;lions;lions'
אַרְיוֹךְ	Arioch
אַרְכָֿא	extension;prolonged
אַרְכֻבָּה	knees_of
אַרְכְּוָיֵא	erech
אַרְכִּי	Archite;Archites
אַרְמֹנִי	Armoni
אַרְמוֹן	citadel;citadel_of;citadels;citadels_of;fortresses_of;palace;palace_of;palaces_of;strongholds_of
אַרְנֶבֶת	hare
אַרְנָן	Arnan
אַרְנוֹן	Arnon
אַרְעִי	bottom_of
אַרְפַּד	Arpad
אַרְפַּכְשַׁד	Arpachshad
אַרְצָא	Arza
אַרְתַּחְשַׁשְׂתְּא	Artaxerxes;Artaxerxes'
אַרְתַּחְשַׁשְׂתָּא	Artaxerxes
אַשְׁבֵּל	Ashbel
אַשְׁבֵּלִי	Ashbelites
אַשְׁבֵּעַ	Ashbea
אַשְׁדּוֹד	Ashdod
אַשְׁדּוֹדִי	Ashdod;Ashdodites;people_of_Ashdod
אַשְׁדּוֹדִית	language_of_Ashdod
אַשְׁחוּר	Ashhur
אַשְׁכְּנַז	Ashkenaz
אַשְׁמַנִּים	strong
אַשְׁמָה	guilt;guilt_of;guilt_offering_of;sins;wrongs_of
אַשְׁמוּרָה	night_watches;watch;watch_of;watch_of_the_night
אַשְׁנָה	Ashnah
אַשְׁפְּנַז	Ashpenaz
אַשְׁפָּה	quiver;quiver_of
