TraditionalName	LVName
Clauda	Klaudaʸ
Claudia	Klaudia
Claudius	Klaudios
Clement	Klaʸmaʸs
Cleopas	Kleopas
Cnidus	Knidos
Col	Kāl
Col-hozeh	Kāl-ḩozeh
Colosse	Kolossai
Conaniah	Kōnanyāhū
Coresh	Kōresh
Corinth	Korinthos
Corinthians	Korinthios
Cornelius	Kornaʸlios
Cos	Kōs
Cosam	Kōsam
Cosam	Qāşam
Cozeba	Kozāⱱāʼ
Crescens	Kraʸskaʸs
Cretans	Kraʸtaʸ
Crete	Kraʸtaʸ
Crispus	Krispos
Cun	Kūn
Cush	Kūsh
Cushan	Kūshān
Cushi	Kūshiy
Cuth	Kūt
Cuthah	Kūt
Cyprian	Kupros
Cyprus	Kupros
Cyrene	Kuraʸnaʸ
Cyrenian	Kuraʸnaʸ
Cyrenians	Kuraʸnaʸ
Cyrenius	Kuraʸnios
Cyrus	Kōresh
Dabbesheth	Dabeshet
Daberath	Daⱱrat
Dagon	Dāgōn
Dalmanutha	Dalmanoutha
Dalmatia	Dalmatia
Damaris	Damaris
Damascene	Damaskos
Damascene	Dammeseq
Damascus	Damaskos
Damascus	Dammeseq
Dan	Dān
Daniel	Daniaʸl
Daniel	Dāniyyēʼl
Danites	Dānī
Dara	Dāraˊ
Darda	Dardaˊ
Darius	Dārəyāvesh
Darkon	Darqōn
Dathan	Dātān
David	Dawid
David	Dāvid
Debir	Dəⱱīr
Deborah	Dəbōrāh
Decapolis	Dekapolis
Dedan	Dədān
Delaiah	Dəlāyāh
Delilah	Dilīlāh
Demas	Daʸmas
Demetrius	Daʸmaʸtrios
Derbe	Derbaʸ
Derbean	Derbaʸ
Deuel	Dəˊūʼēl
Di-	Diy
Diblah	Dəⱱəlāh
Diblaim	Diⱱlayim
Dibon	Diyⱱōn
Didymus	Didumos
Didymus	[twin]
Diklah	Diqlāh
Dinah	Dīnāh
Dinhabah	Dinhāⱱāh
Dionysius	Dionusios
Diotrephes	Diotrefaʸs
Diphath	Rīfat
Dishan	Diyshān
Dishon	Diyshōn
Dizahab	Diy-zāhāⱱ
Dodai	Dōday
Dodanim	Dodānīm
Dodavahu	Dōdāvāhū
Dodo	Dōdō
Doeg	Doʼēg
Dor	Dōr
Dorcas	Dorkas
Dothan	Dotān
Drusilla	Drousilla
Dumah	Dūmāh
Dāniyyēʼl	Dāniyyʼēl
Ebal	ˊĒyⱱāl
Ebed	ˊEⱱed
Ebenezer	ʼEⱱen-hāˊēzer
Eber	Heber
Eber	ˊĒⱱēr
Ebiasaph	ʼEⱱyāşāf
Ecbatana	ʼAḩmətāʼ
Ecclesiastes	Qohelet
Eden	ˊĒden
Eder	ˊEder
Eder	ˊĒder
Edom	ʼEdom
Edom	ʼEdōm
Edrai	ʼEdreˊī
Edrei	ʼEdreˊī
Eglah	ˊEglāh
Eglaim	 ˊEglayim
Eglon	ˊEglōn
Egypt	Aiguptos
Egypt	Miʦrayim
Egyptian	Aiguptos
Egyptian	Miʦrayim
Egyptians	Aiguptos
Egyptians	Miʦrayim
Ehud	ʼĒhūd
Eker	ˊĒqer
Ekron	ˊEqrōn
El	ʼĒl
Ela	ʼĒlāh
Elah	ʼĒlāh
Elam	ˊĒylām
Elamites	Elam
Elasah	ʼElˊāsāh
Elath	ʼĒylōt
Eldaah	ʼEldāˊāh
Elead	ʼElˊād
Eleadah	ʼElˊādāh
Eleasah	ʼElˊāsāh
Eleazar	Eleazar
Eleazar	ʼElˊāzār
Elhanan	ʼElḩānān
Eli	Aʸli
Eli	ˊĒlī
Eliab	ʼElīʼāⱱ
Eliada	ʼElyādāˊ
Eliahba	ʼElyaḩbāʼ
Eliakim	Eliakeim
Eliakim	ʼElyāqīm
Eliam	ʼElīˊām
Eliasaph	ʼElyāşāf
Eliashib	ʼElyāshiyⱱ
Eliathah	ʼElīʼātāh
Eliehoenai	ʼElyəhōˊēynay
Eliel	ʼElīʼēl
Elienai	ʼElīˊēynay
Eliezer	Eliezer
Eliezer	ʼElīˊezer
Elihoenai	ʼElyəhōˊēynay
Elihoreph	ʼElīḩoref
Elihu	ʼElīhū
Elijah	Aʸlias
Elijah	ʼĒliyyāh
Elika	ʼElīqāʼ
Elim	ʼĒylim
Elimelech	ʼElīmelek
Elioenai	ʼElyəhōˊēynay
Eliphal	ʼElīfāl
Eliphalet	ʼElīfeleţ
Eliphaz	ʼElīfaz
Elipheleh	ʼElīfəlēhū
Eliphelehu	ʼElīfəlēhū
Eliphelet	ʼElīfeleţ
Elisha	Elissaios
Elisha	ʼElīshāˊ
Elishaphat	ʼElīshāfāţ
Elisheba	ʼElīsheⱱaˊ
Elishua	ʼElīshūˊa
Eliud	Elioud
Eliud	ʼĒl-hōd
Elizabeth	Elisabet
Elizaphan	ʼElīʦāfān
Elizur	ʼElīʦūr
Elkanah	ʼElqānāh
Elkoshite	ʼElqshiy
Elmadam	Elmōdam
Elmadam	ʼAlmōdād
Elnaam	ʼElnaˊam
Elnathan	ʼElnātān
Elohim	ʼElohīm
Elon	ʼĒylōn
Eloth	ʼĒylōt
Elpaal	ʼElpaˊal
Elpalet	ʼElīfeleţ
Elpelet	ʼElīfeleţ
Eltekon	ʼEltəqōn
Eltolad	ʼEltōlad
Elul	ʼElūl
Eluzai	ʼElˊūzay
Elymas	Elumas
Elzabad	ʼElzāⱱād
Elzaphan	ʼElīʦāfān
Emim	ʼĒymīm
Emite	ʼĒymīm
Emites	ʼĒymīm
Emmanuel	Emmanouaʸl
Emmanuel	ˊImmānūʼēl
Emmaus	Emmaous
Emmor	Emmor
Emmor	Ḩₐmōr
Emori	ʼAmorī
En	 ˊĒyn
En-eglaim	 ˊĒyn-ˊeglayim
En-gedi	 ˊĒyn-gedī
En-rimmon	 ˊĒyn-rimmōn
Enan	 ˊĒynān
Enan	 ˊĒynōn
Enan	ˊĒynān
Eneas	Aineas
Eneglaim	 ˊĒyn-ˊeglayim
Engedi	 ˊĒyn-gedī
Enoch	Enōⱪ
Enoch	Ḩₐnōk
Enos	Enōs
Enos	ʼEnōsh
Enosh	ʼEnōsh
Enrimmon	 ˊĒyn-rimmōn
Epaenetus	Epainetos
Epaphras	Epafras
Epaphroditus	Epafroditos
Ephah	ˊĒyfāh
Epher	ˊĒfer
Ephesian	Efesos
Ephesians	Efesos
Ephesus	Efesos
Ephlal	ʼEflāl
Ephphatha	Effatha
Ephphatha	Fətaḩ
Ephraim	ʼEfrayim
Ephraimite	ʼEfrātī
Ephrain	ˊEfrōn
Ephrath	ʼEfrāt
Ephrathah	ʼEfrātāh
Ephrathite	ʼEfrātī
Ephrathites	ʼEfrātī
