Tags	IBooks	EBooks	IMarkers	EMarkers	IRefs	ERefs	PreText	SCase	Search	PostText	RCase	Replace	Name	Comment

# NOTE 1: This table only distinguishes names, not making any attempt to separate different people or places
# NOTE 2: Although this table applies to the OET-LV, the versification used is the ENGLISH system
# NOTE 3: Hebrew names that are also short English words (like Ham) may need the 'w' whole word flag so that the matching isn't overdone

# Individuals (or gods)
H									Azariah			עֲזַרְיָה		{ (or עֲזַרְיָהוּ) H5838 (48) 1Ki 4:2,5, 2Ki 14:21, 15:1,6-8, ...
H									Azaryah			עֲזַרְיָה		{ (or עֲזַרְיָהוּ) H5838 (48) 1Ki 4:2,5, 2Ki 14:21, 15:1,6-8, ...
H	CH1,EZR,NEH								Azareel			עֲזַרְאֵל		{ H5832 (6) 1Chr 12:7, 25:18, 27:22, Ezr 10:41, Neh 11:13, 12:36*
H	CH1,EZR,NEH								Azarel			עֲזַרְאֵל		{ H5832 (6) 1Chr 12:7, 25:18, 27:22, Ezr 10:41, Neh 11:13, 12:36*
H	CH1,CH2								Azaziah			עֲזַזְיָהוּ		H5812 (3) 1Chr 15:21, 27:20, 2Chr 31:13*
H					NEH_3:16				Azbuk			עַזְבּוּק		H5802 (1) Neh 3:16*
wH	CH1								Azel			אָצֵל		{ H682 (7) 1Chr 8:37-38, 9:43-44, Zec 14:5*
wH					ZEC_14:5				Azal			אָצַל		{ H682 (7) Zec 14:5*
H					CH1_5:8				Azaz			עָזָז		H5811 (1) 1Chr 5:8*
H	EZR,NEH								Azgad			עַזְגָּד		H5803 (4) Ezr 2:12, 8:12, Neh 7:17, 10:15*
H					CH1_15:20				Aziel			עֲזִיאֵל		H5815 (1) 1Chr 15:20*
H					EZR_10:27				Aziza			עֲזִיזָא		H5819 (1) Ezr 10:27*
H	SA2,CH1,EZR,NEH								Azmaveth			עַזְמָוֶת		H5820 (8) 2Sam 23:31, 1Chr 8:36, 9:42, 11:33, 12:3, ...
H	CH1,JER								Azriel			עַזְרִיאֵל		H5837 (3) 1Chr 5:24, 27:19, Jer 36:26*
H									Azrikam			עַזְרִיקָם		H5840 (6) 1Chr 3:23, 8:38, 9:14,44, 2Chr 28:7, Neh 11:15*
H									Azubah			עֲזוּבָה		H5806 woman (4) 1Ki 22:42, 1Chr 2:18-19, 2Chr 20:31*
H	NEH,JER,EZE								Azzur			עַזּוּר		H5809 (3) Neh 10:17, Jer 28:1, Eze 11:1*
wH									Baal			בַּעַל		{ H1168 (80) Jdg 2:11,13, Jdg 3:7, 6:25,28,30-32, ..., Rom 11:4
H									Baalim			בַּעַל		{ H1168 (80) Jdg 2:11,13, Jdg 3:7, 6:25,28,30-32, ..., Rom 11:4
H									Baals			בַּעַל		{ H1168 (80) Jdg 2:11,13, Jdg 3:7, 6:25,28,30-32, ..., Rom 11:4
H	NUM,DEU,PSA,HOS								Baalpeor			בַּעַל-פְּעוֹר		{{ H1187 (space changed to hyphen) (6) Num 25:3,5, Deu 4:3, Psa 106:28, Hos 9:10*
H	NUM,DEU,PSA,HOS								Peor			פְּעוֹר		{{ H1187 (6) Num 25:3,5, Deu 4:3, Psa 106:28, Hos 9:10*
H	SA2,CH1,EZR,NEH								Baanah			בַּעֲנָה		H1196 (9) 2Sam 4:2,5-6,9, 23:29, 1Chr 11:30, Ezr 2:2, Neh 7:7, 10:27*
